event,date,fight,actual_winner,method,mma_guru_pick,mma_guru_correct,mma_joey_pick,mma_joey_correct
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Carlos Prates vs Jack Della Maddalena,Carlos Prates,KO/TKO,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Quillan Salkilld vs Beneil Dariush,Quillan Salkilld,KO/TKO,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Steve Erceg vs Tim Elliott,Steve Erceg,DEC,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Marwan Rahiki vs Ollie Schmid,Marwan Rahiki,KO/TKO,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Brando Pericic vs Shamil Gaziev,Brando Pericic,KO/TKO,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Louie Sutherland vs Tai Tuivasa,Louie Sutherland,DEC,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Cam Rowston vs Robert Bryczek,Cam Rowston,DEC,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Junior Tafa vs Kevin Christian,Junior Tafa,KO/TKO,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Jacob Malkoun vs Gerald Meerschaert,Jacob Malkoun,DEC,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Colby Thicknesse vs Vince Morales,Colby Thicknesse,DEC,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Wes Schultz vs Ben Johnston,Wes Schultz,SUB,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Jonathan Micallef vs Themba Gorimbo,Jonathan Micallef,DEC,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Kody Steele vs Dom Mar Fan,Kody Steele,SUB,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Aljamain Sterling vs Youssef Zalal,Aljamain Sterling,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Joselyne Edwards vs Norma Dumont,Joselyne Edwards,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Rafa Garcia vs Alexander Hernandez,Rafa Garcia,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Davey Grant vs Adrian Luna Martinetti,Davey Grant,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Raoni Barcelos vs Montel Jackson,Raoni Barcelos,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Ryan Spann vs Marcus Buchecha,Ryan Spann,KO/TKO,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Eric McConico vs Rodolfo Vieira,Eric McConico,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Jackson McVey vs Sedriques Dumas,Jackson McVey,SUB,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Michelle Montague vs Mayra Bueno Silva,Michelle Montague,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Cody Durden vs Jafel Filho,Cody Durden,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Francis Marshall vs Lucas Brennan,Francis Marshall,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Victor Valenzuela vs Max Griffin,Victor Valenzuela,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Talita Alencar vs Julia Polastri,Talita Alencar,DEC,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,Mike Malott vs Gilbert Burns,Mike Malott,KO/TKO,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,Charles Jourdain vs Kyler Phillips,Charles Jourdain,DEC,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,Jai Herbert vs Mandel Nallo,Jai Herbert,KO/TKO,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,Jasmine Jasudavicius vs Karine Silva,Jasmine Jasudavicius,DEC,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,Gauge Young vs Thiago Moises,Gauge Young,DEC,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,Marcio Barbosa vs Dennis Buzukja,Marcio Barbosa,KO/TKO,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,Robert Valentin vs Julien Leblanc,Robert Valentin,SUB,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,Gokhan Saricam vs Tanner Boser,Gokhan Saricam,KO/TKO,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,Melissa Croden vs Daria Zhelezniakova,Melissa Croden,DEC,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,JJ Aldrich vs Jamey-Lyn Horth,JJ Aldrich,DEC,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,John Castaneda vs Mark Vologdin,,DEC,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,John Yannis vs Jamie Siraj,John Yannis,KO/TKO,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Carlos Ulberg vs Jiri Prochazka,Carlos Ulberg,KO/TKO,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Paulo Costa vs Azamat Murzakanov,Paulo Costa,KO/TKO,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Josh Hokit vs Curtis Blaydes,Josh Hokit,DEC,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Dominick Reyes vs Johnny Walker,Dominick Reyes,DEC,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Cub Swanson vs Nate Landwehr,Cub Swanson,KO/TKO,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Aaron Pico vs Patricio Pitbull,Aaron Pico,DEC,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Kevin Holland vs Randy Brown,Kevin Holland,DEC,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Mateusz Gamrot vs Esteban Ribovics,Mateusz Gamrot,SUB,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Tatiana Suarez vs Loopy Godinez,Tatiana Suarez,SUB,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Chris Padilla vs MarQuel Mederos,,DEC,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Vicente Luque vs Kelvin Gastelum,Vicente Luque,SUB,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Charles Radtke vs Francisco Prado,Charles Radtke,DEC,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Renato Moicano vs Chris Duncan,Renato Moicano,SUB,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Virna Jandiroba vs Tabatha Ricci,Virna Jandiroba,DEC,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Abdul Rakhman Yakhyaev vs Brendson Ribeiro,Abdul Rakhman Yakhyaev,SUB,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Ethyn Ewing vs Rafael Estevam,Ethyn Ewing,KO/TKO,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Tommy McMillen vs Manolo Zecchini,Tommy McMillen,KO/TKO,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Jose Delano vs Robert Ruchala,Jose Delano,DEC,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Thomas Petersen vs Guilherme Pat,Thomas Petersen,DEC,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Alessandro Costa vs Stewart Nicoll,Alessandro Costa,KO/TKO,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Darrius Flowers vs Lando Vannata,Darrius Flowers,KO/TKO,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Alice Pereira vs Hailey Cowan,Alice Pereira,KO/TKO,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Tresean Gore vs Azamat Bekoev,Tresean Gore,SUB,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Dione Barbosa vs Melissa Gatto,Dione Barbosa,DEC,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Kai Kamaka III vs Dakota Hope,Kai Kamaka III,DEC,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Joe Pyfer vs Israel Adesanya,Joe Pyfer,KO/TKO,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Alexa Grasso vs Maycee Barber,Alexa Grasso,KO/TKO,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Michael Chiesa vs Niko Price,Michael Chiesa,SUB,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Lerryan Douglas vs Julian Erosa,Lerryan Douglas,KO/TKO,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Yousri Belgaroui vs Mansur Abdul-Malik,Yousri Belgaroui,KO/TKO,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Terrance McKinney vs Kyle Nelson,Terrance McKinney,KO/TKO,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Tofiq Musayev vs Ignacio Bahamondes,Tofiq Musayev,DEC,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Lance Gibson Jr. vs Chase Hooper,Lance Gibson Jr.,KO/TKO,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Tyrell Fortune vs Marcin Tybura,Tyrell Fortune,DEC,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Casey O'Neill vs Gabriella Fernandes,Casey O'Neill,KO/TKO,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Navajo Stirling vs Bruno Lopes,Navajo Stirling,KO/TKO,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Ricky Simon vs Adrian Yanez,,DEC,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Alexia Thainara vs Bruna Brasil,Alexia Thainara,DEC,—,,—,
