event,date,fight,predicted_winner,correct,creator
UFC Fight Night: Covington vs. Buckley,2024-12-14,Piera Rodriguez vs Josefine Knutsson,Josefine Knutsson,False,mma_guru
UFC Fight Night: Covington vs. Buckley,2024-12-14,Davey Grant vs Ramon Taveras,Davey Grant,True,mma_guru
UFC Fight Night: Covington vs. Buckley,2024-12-14,Miranda Maverick vs Jamey-Lyn Horth,Miranda Maverick,True,mma_guru
UFC Fight Night: Covington vs. Buckley,2024-12-14,Felipe Lima vs Miles Johns,Felipe Lima,True,mma_guru
UFC Fight Night: Covington vs. Buckley,2024-12-14,Sean Woodson vs Fernando Padilla,Sean Woodson,True,mma_guru
UFC Fight Night: Covington vs. Buckley,2024-12-14,Joel Alvarez vs Drakkar Klose,Joel Alvarez,True,mma_guru
UFC Fight Night: Covington vs. Buckley,2024-12-14,Michael Johnson vs Ottman Azaitar,Michael Johnson,True,mma_guru
UFC Fight Night: Covington vs. Buckley,2024-12-14,Navajo Stirling vs Tuco Tokkos,Navajo Stirling,True,mma_guru
UFC Fight Night: Covington vs. Buckley,2024-12-14,Daniel Marcos vs Adrian Yanez,Daniel Marcos,True,mma_guru
UFC Fight Night: Covington vs. Buckley,2024-12-14,Dustin Jacoby vs Vitor Petrino,Dustin Jacoby,True,mma_guru
UFC Fight Night: Covington vs. Buckley,2024-12-14,Manel Kape vs Bruno Silva,Manel Kape,True,mma_guru
UFC Fight Night: Covington vs. Buckley,2024-12-14,Cub Swanson vs Billy Quarantillo,Cub Swanson,True,mma_guru
UFC Fight Night: Covington vs. Buckley,2024-12-14,Joaquin Buckley vs Colby Covington,Joaquin Buckley,True,mma_guru
UFC 310: Pantoja vs. Asakura,2024-12-07,Kennedy Nzechukwu vs Lukasz Brzeski,Kennedy Nzechukwu,True,mma_guru
UFC 310: Pantoja vs. Asakura,2024-12-07,Chase Hooper vs Clay Guida,Chase Hooper,True,mma_guru
UFC 310: Pantoja vs. Asakura,2024-12-07,Michael Chiesa vs Max Griffin,Michael Chiesa,True,mma_guru
UFC 310: Pantoja vs. Asakura,2024-12-07,Joshua Van vs Cody Durden,Cody Durden,False,mma_guru
UFC 310: Pantoja vs. Asakura,2024-12-07,Eryk Anders vs Chris Weidman,Chris Weidman,False,mma_guru
UFC 310: Pantoja vs. Asakura,2024-12-07,Bryan Battle vs Randy Brown,Bryan Battle,True,mma_guru
UFC 310: Pantoja vs. Asakura,2024-12-07,Movsar Evloev vs Aljamain Sterling,Movsar Evloev,True,mma_guru
UFC 310: Pantoja vs. Asakura,2024-12-07,Vicente Luque vs Themba Gorimbo,Themba Gorimbo,False,mma_guru
UFC 310: Pantoja vs. Asakura,2024-12-07,Dominick Reyes vs Anthony Smith,Dominick Reyes,True,mma_guru
UFC 310: Pantoja vs. Asakura,2024-12-07,Dooho Choi vs Nate Landwehr,Nate Landwehr,False,mma_guru
UFC 310: Pantoja vs. Asakura,2024-12-07,Bryce Mitchell vs Kron Gracie,Bryce Mitchell,True,mma_guru
UFC 310: Pantoja vs. Asakura,2024-12-07,Ciryl Gane vs Alexander Volkov,Ciryl Gane,True,mma_guru
UFC 310: Pantoja vs. Asakura,2024-12-07,Shavkat Rakhmonov vs Ian Machado Garry,Shavkat Rakhmonov,True,mma_guru
UFC 310: Pantoja vs. Asakura,2024-12-07,Alexandre Pantoja vs Kai Asakura,Alexandre Pantoja,True,mma_guru
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Xiao Long vs Quang Le,Quang Le,False,mma_guru
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Lone'er Kavanagh vs Jose Ochoa,Lone'er Kavanagh,True,mma_guru
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Carlos Hernandez vs Nyamjargal Tumendemberel,Nyamjargal Tumendemberel,False,mma_guru
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Shi Ming vs Feng Xiaocan,Feng Xiaocan,False,mma_guru
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,DongHun Choi vs Kiru Sahota,DongHun Choi,True,mma_guru
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,SuYoung You vs Baergeng Jieleyisi,Baergeng Jieleyisi,False,mma_guru
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Zhang Mingyang vs Ozzy Diaz,Zhang Mingyang,True,mma_guru
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Carlos Ulberg vs Volkan Oezdemir,Carlos Ulberg,True,mma_guru
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Gabriella Fernandes vs Wang Cong,Wang Cong,False,mma_guru
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Muslim Salikhov vs Song Kenan,Muslim Salikhov,True,mma_guru
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Yan Xiaonan vs Tabatha Ricci,Yan Xiaonan,True,mma_guru
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Petr Yan vs Deiveson Figueiredo,Petr Yan,True,mma_guru
UFC 309: Jones vs. Miocic,2024-11-16,Eduarda Moura vs Veronica Hardy,Veronica Hardy,False,mma_guru
UFC 309: Jones vs. Miocic,2024-11-16,Oban Elliott vs Bassil Hafez,Oban Elliott,True,mma_guru
UFC 309: Jones vs. Miocic,2024-11-16,Ramiz Brahimaj vs Mickey Gall,Mickey Gall,False,mma_guru
UFC 309: Jones vs. Miocic,2024-11-16,Marcin Tybura vs Jhonata Diniz,Jhonata Diniz,False,mma_guru
UFC 309: Jones vs. Miocic,2024-11-16,Jim Miller vs Damon Jackson,Damon Jackson,False,mma_guru
UFC 309: Jones vs. Miocic,2024-11-16,Mauricio Ruffy vs James Llontop,Mauricio Ruffy,True,mma_guru
UFC 309: Jones vs. Miocic,2024-11-16,Viviane Araujo vs Karine Silva,Viviane Araujo,True,mma_guru
UFC 309: Jones vs. Miocic,2024-11-16,Bo Nickal vs Paul Craig,Bo Nickal,True,mma_guru
UFC 309: Jones vs. Miocic,2024-11-16,Charles Oliveira vs Michael Chandler,Charles Oliveira,True,mma_guru
UFC 309: Jones vs. Miocic,2024-11-16,Jon Jones vs Stipe Miocic,Jon Jones,True,mma_guru
UFC 309: Jones vs. Miocic,2024-11-16,Marcus McGhee vs Jonathan Martinez,Jonathan Martinez,False,mma_guru
UFC Fight Night: Magny vs. Prates,2024-11-09,Tresean Gore vs Antonio Trocoli,Tresean Gore,True,mma_guru
UFC Fight Night: Magny vs. Prates,2024-11-09,Gaston Bolanos vs Cortavious Romious,Cortavious Romious,False,mma_guru
UFC Fight Night: Magny vs. Prates,2024-11-09,Melissa Mullins vs Klaudia Sygula,Melissa Mullins,True,mma_guru
UFC Fight Night: Magny vs. Prates,2024-11-09,Da'Mon Blackshear vs Cody Stamann,Da'Mon Blackshear,True,mma_guru
UFC Fight Night: Magny vs. Prates,2024-11-09,Charles Radtke vs Matthew Semelsberger,Matthew Semelsberger,False,mma_guru
UFC Fight Night: Magny vs. Prates,2024-11-09,Mansur Abdul-Malik vs Dusko Todorovic,Mansur Abdul-Malik,True,mma_guru
UFC Fight Night: Magny vs. Prates,2024-11-09,Gillian Robertson vs Luana Pinheiro,Gillian Robertson,True,mma_guru
UFC Fight Night: Magny vs. Prates,2024-11-09,Reinier de Ridder vs Gerald Meerschaert,Reinier de Ridder,True,mma_guru
UFC Fight Night: Magny vs. Prates,2024-11-09,Denise Gomes vs Karolina Kowalkiewicz,Denise Gomes,True,mma_guru
UFC Fight Night: Magny vs. Prates,2024-11-09,Carlos Prates vs Neil Magny,Carlos Prates,True,mma_guru
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Youssef Zalal vs Jack Shore,Youssef Zalal,True,mma_guru
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Jamey-Lyn Horth vs Ivana Petrovic,Jamey-Lyn Horth,True,mma_guru
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Cody Gibson vs Chad Anheliger,Cody Gibson,True,mma_guru
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Serhiy Sidey vs Garrett Armfield,Serhiy Sidey,True,mma_guru
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Alexandr Romanov vs Rodrigo Nascimento,Alexandr Romanov,True,mma_guru
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Charles Jourdain vs Victor Henry,Charles Jourdain,True,mma_guru
UFC Fight Night: Moreno vs. Albazi,2024-11-02,Jasmine Jasudavicius vs Ariane da Silva,Jasmine Jasudavicius,True,mma_guru
